12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:30 WARNING: MalletXY_in: buffer empty
12月 16 07:59:30 WARNING: ArmXY_in: buffer empty
12月 16 07:59:30 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
